time;sender_id;receiver_id;SelfOrOther;lEye_lEye.x;lEye_lEye.y;lEye_rEye.x;lEye_rEye.y;rEye_lEye.x;rEye_lEye.y;rEye_rEye.x;rEye_rEye.y;
8.383441;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17968;
8.383441;1;0;OtherAtSelf;26.09989;-76.53568;27.9382;-76.53357;16.8887;-77.44036;18.68726;-77.43863;
8.401185;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17968;
8.401185;1;0;OtherAtSelf;26.09989;-76.53568;27.93821;-76.53355;16.88871;-77.44038;18.68727;-77.43867;
8.416933;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17968;
8.416933;1;0;OtherAtSelf;26.09993;-76.53565;27.93823;-76.53354;16.88871;-77.44038;18.68727;-77.43864;
8.433972;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17968;
8.433972;1;0;OtherAtSelf;26.09992;-76.5357;27.93823;-76.53358;16.8887;-77.44036;18.68725;-77.43864;
8.449902;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17968;
8.449902;1;0;OtherAtSelf;26.0999;-76.53568;27.93822;-76.53357;16.8887;-77.44036;18.68726;-77.43864;
8.467951;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17968;
8.467951;1;0;OtherAtSelf;26.0999;-76.5357;27.93822;-76.53359;16.88871;-77.44038;18.68727;-77.43867;
8.483188;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17827;-37.17671;86.2459;-37.17967;
8.483188;1;0;OtherAtSelf;26.0999;-76.5357;27.93822;-76.53359;16.88874;-77.4404;18.6873;-77.43867;
8.500904;0;1;SelfAtOther;83.57964;-36.32742;85.68762;-36.33059;84.25533;-37.12817;86.32285;-37.13116;
8.500904;1;0;OtherAtSelf;26.105;-76.5363;27.9426;-76.53416;16.89337;-77.441;18.6912;-77.43925;
